01001,MA,Agawam,Hampden
01002,MA,Amherst,Hampshire
01003,MA,Amherst,Hampshire
01004,MA,Amherst,Hampshire
01005,MA,Barre,Worcester
01007,MA,Belchertown,Hampshire
01008,MA,Blandford,Hampden
01009,MA,Bondsville,Hampden
01010,MA,Brimfield,Hampden
01011,MA,Chester,Hampden
01012,MA,Chesterfield,Hampshire
01013,MA,Chicopee,Hampden
01020,MA,Chicopee,Hampden
01022,MA,Chicopee,Hampden
01026,MA,Cummington,Hampshire
01027,MA,Easthampton,Hampshire
01028,MA,East Longmeadow,Hampden
01029,MA,East Otis,Berkshire
01030,MA,Feeding Hills,Hampden
01031,MA,Gilbertville,Worcester
01032,MA,Goshen,Hampshire
01033,MA,Granby,Hampshire
01034,MA,Granville,Hampden
01035,MA,Hadley,Hampshire
01036,MA,Hampden,Hampden
01037,MA,Hardwick,Worcester
01038,MA,Hatfield,Hampshire
01039,MA,Haydenville,Hampshire
01040,MA,Holyoke,Hampden
01041,MA,Holyoke,Hampden
01050,MA,Huntington,Hampshire
01053,MA,Leeds,Hampshire
01054,MA,Leverett,Franklin
01056,MA,Hampden,Hampden
01057,MA,Monson,Hampden
01059,MA,North Amherst,Hampshire
01060,MA,Northampton,Hampshire
01061,MA,Northampton,Hampshire
01062,MA,Florence,Hampshire
01063,MA,Northampton,Hampshire
01066,MA,North Hatfield,Hampshire
01068,MA,Oakham,Worcester
01069,MA,Palmer,Hampden
01070,MA,Plainfield,Hampshire
01071,MA,Russell,Hampden
01072,MA,Shutesbury,Franklin
01073,MA,Southampton,Hampshire
01074,MA,South Barre,Worcester
01075,MA,South Hadley,Hampshire
01077,MA,Southwick,Hampden
01079,MA,Thorndike,Hampden
01080,MA,Three Rivers,Hampden
01081,MA,Wales,Hampden
01082,MA,Ware,Hampshire
01083,MA,Warren,Worcester
01084,MA,West Chesterfield,Hampshire
01085,MA,Westfield,Hampden
01086,MA,Westfield,Hampden
01088,MA,West Hatfield,Hampshire
01089,MA,West Springfield,Hampden
01090,MA,West Springfield,Hampden
01092,MA,West Warren,Worcester
01093,MA,Whately,Franklin
01094,MA,Wheelwright,Worcester
01095,MA,Wilbraham,Hampden
01096,MA,Williamsburg,Hampshire
01097,MA,Woronoco,Hampden
01098,MA,Worthington,Hampshire
01101,MA,Springfield,Hampden
01102,MA,Springfield,Hampden
01103,MA,Springfield,Hampden
01104,MA,Springfield,Hampden
01105,MA,Springfield,Hampden
01106,MA,Longmeadow,Hampden
01107,MA,Springfield,Hampden
01108,MA,Springfield,Hampden
01109,MA,Springfield,Hampden
01111,MA,Springfield,Hampden
01115,MA,Springfield,Hampden
01116,MA,Longmeadow,Hampden
01118,MA,Springfield,Hampden
01119,MA,Springfield,Hampden
01128,MA,Springfield,Hampden
01129,MA,Springfield,Hampden
01151,MA,Indian Orchard,Hampden
01152,MA,Springfield,Hampden
01199,MA,Springfield,Hampden
01201,MA,Pittsfield,Berkshire
01202,MA,Pittsfield,Berkshire
01203,MA,Pittsfield,Berkshire
01220,MA,Adams,Berkshire
01222,MA,Ashley Falls,Berkshire
01223,MA,Becket,Berkshire
01225,MA,Cheshire,Berkshire
01226,MA,Dalton,Berkshire
01227,MA,Dalton,Berkshire
01229,MA,Glendale,Berkshire
01230,MA,Great Barrington,Berkshire
01235,MA,Hinsdale,Berkshire
01236,MA,Housatonic,Berkshire
01237,MA,Lanesboro,Berkshire
01238,MA,Lee,Berkshire
01240,MA,Lenox,Berkshire
01242,MA,Lenox Dale,Berkshire
01243,MA,Middlefield,Hampshire
01244,MA,Mill River,Berkshire
01245,MA,Monterey,Berkshire
01247,MA,North Adams,Berkshire
